Team,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ajaccio,,,,17,15,14,18,,,,,,16,17,20,,19,
Angers,,,,,,,,,,,,,,,,,9,12
Arles,,,,,,,,,,,,20,,,,,,
Auxerre,8,13,3,6,4,8,6,8,15,8,3,9,20,,,,,
Bastia,10,8,11,12,17,19,,,,,,,,12,10,12,10,20
Bordeaux,4,4,6,4,12,15,2,6,2,1,6,7,5,7,7,6,11,6
Boulogne,,,,,,,,,,,19,,,,,,,
Brest,,,,,,,,,,,,16,15,20,,,,
Caen,,,,,,18,,,11,18,,15,18,,,13,7,17
Dijon,,,,,,,,,,,,,19,,,,,16
Evian Thonon Gaillard,,,,,,,,,,,,,9,16,14,18,,
Grenoble,,,,,,,,,,13,20,,,,,,,
Guingamp,,10,16,7,,,,,,,,,,,16,10,16,10
Istres,,,,,,20,,,,,,,,,,,,
Le Havre,17,,,18,,,,,,20,,,,15,,,,
Le Mans,,,,,19,,11,12,9,16,18,,,,,,,
Lens,5,14,2,8,8,7,4,5,18,,11,19,,,,20,,
Lille,,3,5,14,10,2,3,10,7,5,4,1,3,6,3,8,5,11
Lorient,,,18,,,,,14,10,10,7,11,17,8,8,16,15,18
Lyon,3,2,1,1,1,1,1,1,1,3,2,3,4,3,5,2,2,4
Marseille,15,15,9,3,7,5,5,2,3,2,1,2,10,2,6,4,13,5
Metz,11,12,17,,14,16,20,,20,,,,,,,19,,14
Monaco,1,11,15,2,3,3,10,9,12,11,8,18,,,2,3,3,1
Montpellier,18,,13,16,20,,,,,,5,14,1,9,15,7,12,15
Nancy,16,,,,,,12,13,4,15,12,13,11,18,,,,19
Nantes,12,1,10,9,6,17,14,20,,19,,,,,13,14,14,7
Nice,,,,10,11,12,8,16,8,9,15,17,13,4,17,11,4,3
Paris SG,2,9,4,11,2,9,9,15,16,6,13,4,2,1,1,1,1,2
Reims,,,,,,,,,,,,,,,11,15,18,
Rennes,13,6,12,15,9,4,7,4,6,7,9,6,6,13,12,9,8,9
Sedan,7,5,14,19,,,,19,,,,,,,,,,
Sochaux,,,8,5,5,10,15,7,14,14,16,5,14,,18,,,
St Etienne,6,16,,,,6,13,11,5,17,17,10,7,5,4,5,6,8
Strasbourg,9,18,,13,13,11,19,,19,,,,,,,,,
Toulouse,,17,,,16,13,16,3,17,4,14,8,8,10,9,17,17,13
Troyes,14,7,7,20,,,17,18,,,,,,19,,,20,
Valenciennes,,,,,,,,17,13,12,10,12,12,11,19,,,
